"","Year","Team","Season","total"
"646",1956,"Sweden","Summer",28
"647",1956,"Switzerland","Summer",3
"648",1956,"Tip","Summer",3
"649",1956,"Turkey","Summer",7
"650",1956,"United States","Summer",121
"651",1956,"Uruguay","Summer",12
"652",1956,"Vision","Summer",4
"653",1956,"Yugoslavia","Summer",23
"654",1960,"Argentina","Summer",1
"655",1960,"Australia","Summer",46
"656",1960,"Austria","Summer",3
"657",1960,"Ballerina IV","Summer",3
"658",1960,"Belgium","Summer",4
"659",1960,"Brazil","Summer",13
"660",1960,"Bulgaria","Summer",7
"661",1960,"Canada","Summer",9
"662",1960,"Chinese Taipei","Summer",1
"663",1960,"Czechoslovakia","Summer",22
"664",1960,"Denmark","Summer",18
"665",1960,"Ethiopia","Summer",1
"666",1960,"Finland","Summer",6
"667",1960,"France","Summer",12
"668",1960,"Germany","Summer",86
"669",1960,"Ghana","Summer",1
"670",1960,"Great Britain","Summer",28
"671",1960,"Hungary","Summer",66
"672",1960,"India","Summer",13
"673",1960,"Iran","Summer",4
"674",1960,"Iraq","Summer",1
"675",1960,"Italy","Summer",85
"676",1960,"Japan","Summer",31
"677",1960,"Ma'Lindo","Summer",2
"678",1960,"Macky VI","Summer",3
"679",1960,"Mexico","Summer",1
"680",1960,"Minotaur","Summer",3
"681",1960,"Morocco","Summer",1
"682",1960,"Netherlands","Summer",3
"683",1960,"New Zealand","Summer",3
"684",1960,"Nirefs","Summer",3
"685",1960,"Pakistan","Summer",14
"686",1960,"Poland","Summer",30
"687",1960,"Romania","Summer",15
"688",1960,"Shrew II","Summer",2
"689",1960,"Singapore","Summer",1
"690",1960,"Sirene","Summer",2
"691",1960,"Skum","Summer",2
"692",1960,"South Africa","Summer",3
"693",1960,"Soviet Union","Summer",167
"694",1960,"Spain","Summer",14
"695",1960,"Sweden","Summer",7
"696",1960,"Switzerland","Summer",9
"697",1960,"Tango","Summer",3
"698",1960,"Tornado","Summer",2
"699",1960,"Turkey","Summer",9
"700",1960,"United Arab Republic","Summer",2
"701",1960,"United States","Summer",120
"702",1960,"Venezuela","Summer",1
"703",1960,"Venilia","Summer",3
"704",1960,"Web II","Summer",3
