"","Year","Team","total"
"815",1968,"Austria-1",6
"816",1968,"Belgium",3
"817",1968,"Brazil",4
"818",1968,"Bulgaria",26
"819",1968,"Cameroon",1
"820",1968,"Canada",30
"821",1968,"Chinese Taipei",1
"822",1968,"Cuba",10
"823",1968,"Czechoslovakia",50
"824",1968,"Denmark",17
"825",1968,"East Germany",56
"826",1968,"East Germany-1",2
"827",1968,"Ethiopia",2
"828",1968,"Finland",12
"829",1968,"France",36
"830",1968,"Great Britain",19
"831",1968,"Greece",1
"832",1968,"Hungary",81
"833",1968,"India",16
"834",1968,"Iran",5
"835",1968,"Italy",35
"836",1968,"Italy-1",6
"837",1968,"Jamaica",1
"838",1968,"Japan",63
"839",1968,"Kenya",12
"840",1968,"Mexico",9
"841",1968,"Mongolia",4
"842",1968,"Netherlands",23
"843",1968,"New Zealand",7
"844",1968,"Norway",28
"845",1968,"Pakistan",13
"846",1968,"Poland",37
"847",1968,"Romania",23
"848",1968,"Romania-1",2
"849",1968,"South Korea",2
"850",1968,"Soviet Union",225
"851",1968,"Soviet Union-1",2
"852",1968,"Soviet Union-2",2
"853",1968,"Sweden",25
"854",1968,"Switzerland",18
"855",1968,"Switzerland-1",4
"856",1968,"Tunisia",2
"857",1968,"Turkey",2
"858",1968,"Uganda",2
"859",1968,"United States",173
"860",1968,"Venezuela",1
"861",1968,"West Germany",55
"862",1968,"West Germany-1",6
"863",1968,"Yugoslavia",29
"864",1972,"Argentina",1
"865",1972,"Australia",20
"866",1972,"Austria",8
"867",1972,"Belgium",2
"868",1972,"Brazil",2
"869",1972,"Bulgaria",22
"870",1972,"Canada",12
"871",1972,"Colombia",3
"872",1972,"Cuba",22
"873",1972,"Czechoslovakia",49
"874",1972,"Denmark",1
"875",1972,"East Germany",163
"876",1972,"East Germany-1",6
"877",1972,"East Germany-2",2
"878",1972,"Ethiopia",2
"879",1972,"Finland",20
"880",1972,"France",25
"881",1972,"Ghana",1
"882",1972,"Great Britain",29
"883",1972,"Greece",2
"884",1972,"Hungary",81
"885",1972,"India",14
"886",1972,"Iran",3
"887",1972,"Italy",28
"888",1972,"Italy-1",6
"889",1972,"Jamaica",1
"890",1972,"Japan",59
"891",1972,"Kenya",12
"892",1972,"Lebanon",1
"893",1972,"Mexico",1
"894",1972,"Mongolia",1
"895",1972,"Netherlands",15
"896",1972,"New Zealand",14
"897",1972,"Niger",1
"898",1972,"Nigeria",1
"899",1972,"North Korea",15
"900",1972,"Norway",25
"901",1972,"Pakistan",15
"902",1972,"Poland",47
"903",1972,"Romania",40
"904",1972,"South Korea",1
"905",1972,"Soviet Union",255
"906",1972,"Soviet Union-1",2
"907",1972,"Soviet Union-2",2
"908",1972,"Spain",2
"909",1972,"Sweden",26
"910",1972,"Switzerland",19
"911",1972,"Switzerland-1",6
"912",1972,"Tunisia",1
"913",1972,"Turkey",1
"914",1972,"Uganda",2
"915",1972,"United States",195
